step,loss
17273,2.513
17281,2.536
17394,2.493
17423,2.535
17431,2.498
17432,2.520
17515,2.512
17522,2.498
17563,2.507
17617,2.486
17632,2.530
17633,2.534
17648,2.499
17649,2.488
17671,2.465
17688,2.496
17697,2.503
17731,2.514
17761,2.487
17768,2.510
17814,2.517
17863,2.496
17873,2.498
17880,2.498
17881,2.531
17885,2.527
17924,2.481
17935,2.509
17952,2.491
17964,2.501
18005,2.475
18008,2.502
18035,2.515
18042,2.501
18064,2.497
18080,2.505
18085,2.480
18088,2.503
18109,2.487
18121,2.497
18129,2.522
18133,2.478
18137,2.461
18207,2.530
18276,2.514
18305,2.472
18328,2.493
18332,2.496
18345,2.517
18366,2.548
18374,2.487
18404,2.509
18405,2.501
18417,2.508
18429,2.508
18437,2.497
18444,2.515
18454,2.469
18468,2.522
18481,2.505
18490,2.501
18510,2.502
18522,2.484
18542,2.521
18586,2.516
18616,2.538
18621,2.472
18622,2.511
18634,2.495
18645,2.484
18672,2.485
18758,2.502
18759,2.493
18765,2.513
18768,2.460
18780,2.488
18795,2.489
18872,2.532
18898,2.510
18904,2.440
18905,2.498
18940,2.510
18965,2.481
18991,2.467
19036,2.524
19039,2.565
19061,2.520
19099,2.472
19109,2.485
19113,2.446
19114,2.501
19209,2.500
19211,2.535
19216,2.467
19276,2.471
19278,2.486
19309,2.454
19319,2.475
19369,2.486
19377,2.488
19392,2.492
19402,2.532
19406,2.509
19420,2.478
19447,2.477
19465,2.499
19474,2.465
19478,2.495
19498,2.469
19501,2.504
19546,2.503
19617,2.472
19633,2.507
19654,2.525
19661,2.478
19701,2.505
19727,2.470
19763,2.459
19765,2.493
19769,2.472
19841,2.488
19847,2.493
19861,2.509
19895,2.473
19911,2.461
19922,2.488
19966,2.458
19981,2.502
19982,2.498
19986,2.486
19999,2.466
20014,2.466
20020,2.497
20075,2.497
20088,2.507
20112,2.486
20129,2.470
20134,2.507
20311,2.500
20332,2.483
20362,2.464
20394,2.472
20399,2.456
